Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,C23-2m,144.587500,,7.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,12.50,,0.1W,,,,,
1,C23-70cm,433.025000,,7.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,12.50,,0.1W,,,,,
