Channel Number;Channel Name;Channel Type;Rx Frequency;Tx Frequency;Bandwidth (kHz);Colour Code;Timeslot;Contact;TG List;DMR ID;TS1_TA_Tx;TS2_TA_Tx ID;RX Tone;TX Tone;Squelch;Power;Rx Only;Zone Skip;All Skip;TOT;VOX;No Beep;No Eco;APRS;Latitude;Longitude;Use location
263;#DB0QC Bremerha;Analogue;439,025000;431,42500;25;;;;;None;;;None;1750;Disabled;Master;No;No;No;495;Off;No;No;None;53,54230118;8,57779026;Yes
264; DB0BHN Bremerh;Analogue;145,762500;145,16250;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;53,54819870;8,57929993;Yes
265;.DB0BHN.Bremerh;Digital;145,762500;145,16250;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;53,54819870;8,57929993;Yes
266; DB0RTN Rotenbu;Analogue;145,287500;145,28750;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;53,10850143;9,39680004;Yes
267;#DB0RTN Rotenbu;Analogue;439,437500;431,83750;25,0;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;53,10879898;9,39680004;Yes
268;#DB0EWB Bremerv;Analogue;439,175000;431,57500;12,5;;;;;None;;;None;1750;Disabled;Master;No;No;No;495;Off;No;No;None;53,46820068;9,03310013;Yes
269; DB0WAG Wagenfe;Analogue;145,750000;145,15000;12,5;;;;;None;;;67,0;67,0;Disabled;Master;No;No;No;495;Off;No;No;None;52,53570500;8,55493200;Yes
270;#DB0WTV.Wilhelm;Digital;439,850000;430,45000;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;53,51589966;8,14542007;Yes
271;#DB0WTV.Wilhelm;Digital;439,475000;431,87500;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;53,51590900;8,14541400;Yes
272;#DB0WTV Wilhelm;Analogue;438,750000;431,15000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;53,51580048;8,14500046;Yes
273;#DB0DAM.Dammer.;Digital;439,862500;430,46250;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;52,55839920;8,21055984;Yes
274;#DB0DAM Dammer ;Analogue;438,950000;431,35000;25;;;;;None;;;None;123,0;Disabled;Master;No;No;No;495;Off;No;No;None;52,55810165;8,21055984;Yes
275; DB0BHV Bremerh;Analogue;145,600000;145,00000;12,5;;;;;None;;;None;74,4;Disabled;Master;No;No;No;495;Off;No;No;None;53,58750153;8,61060047;Yes
276;#DB0BHV.Bremerh;Digital;438,475000;430,87500;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;53,58750153;8,61089993;Yes
277;#DB0BRV Bremerv;Analogue;438,462500;430,86250;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;53,48200000;9,14300000;Yes
278;#DB0BRV.Bremerv;Digital;438,462500;430,86250;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;53,48200000;9,14300000;Yes
279; DB0WY Rahden-W;Analogue;145,650000;145,05000;12,5;;;;;None;;;67,0;;Disabled;Master;No;No;No;495;Off;No;No;None;52,46139908;8,65279961;Yes
280;#DB0LOL Loening;Analogue;438,637500;431,03750;25,0;;;;;None;;;None;123,0;Disabled;Master;No;No;No;495;Off;No;No;None;52,73652600;7,69170000;Yes
281; DB0ELR Papenbu;Analogue;145,787500;145,18750;25;;;;;None;;;None;123,0;Disabled;Master;No;No;No;495;Off;No;No;None;52,85089874;7,52132988;Yes
282;#DB0EMS Papenbu;Analogue;439,400000;431,80000;25;;;;;None;;;None;123,0;Disabled;Master;No;No;No;495;Off;No;No;None;52,85060120;7,52132988;Yes
283;#DB0ZP Nienburg;Analogue;439,100000;431,50000;25;;;;;None;;;None;1750;Disabled;Master;No;No;No;495;Off;No;No;None;52,56930161;9,32499981;Yes
284;#DB0RNG Droegen;Analogue;439,387500;431,78750;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;53,01530075;9,67016983;Yes
285;#DB0TEN.Bomlitz;Digital;439,212500;431,61250;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;52,90470123;9,65824986;Yes
286; DB0WO Leer;Analogue;145,700000;145,10000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;53,23699951;7,46929979;Yes
287;#DB0LER Leer;Analogue;438,575000;430,97500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;53,23730087;7,46929979;Yes
288;#DB0WO.Leer;Digital;438,300000;430,70000;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;53,23730087;7,46929979;Yes
289;#DB0PBG Papenbu;Analogue;439,225000;431,62500;25;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;53,08219910;7,40229988;Yes
290;#DB0PBG.Papenbu;Digital;439,225000;431,62500;25;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;53,08219910;7,40229988;Yes
291; DB0XW Wittmund;Analogue;145,775000;145,17500;25;;;;;None;;;None;71,9;Disabled;Master;No;No;No;495;Off;No;No;None;53,56760025;7,72168016;Yes
292;#DB0HT Tostedt;Analogue;439,125000;431,52500;25;;;;;None;;;None;1750;Disabled;Master;No;No;No;495;Off;No;No;None;53,28410000;9,70590000;Yes
293;#DB0RCH Schwarm;Analogue;439,062500;431,46250;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;52,67770004;9,62349987;Yes
294;#DB0SFA Dorfmar;Analogue;438,675000;431,07500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;52,89989853;9,76710033;Yes
295;#DB0WOT Wingst;Analogue;438,600000;431,00000;12,5;;;;;None;;;79,7;79,7;Disabled;Master;No;No;No;495;Off;No;No;None;53,74230000;9,07600000;Yes
296;#DB0XJ Stade;Analogue;438,800000;431,20000;12,5;;;;;None;;;88,5;88,5;Disabled;Master;No;No;No;495;Off;No;No;None;53,59609985;9,44303036;Yes
297;#DM0MAX Wieheng;Analogue;438,275000;430,67500;25;;;;;None;;;88,5;;Disabled;Master;No;No;No;495;Off;No;No;None;52,29059982;8,70180988;Yes
298;#DM0MAX Wieheng;Analogue;438,737500;431,13750;25;;;;;None;;;None;1750;Disabled;Master;No;No;No;495;Off;No;No;None;52,29059982;8,70180988;Yes
299; DB0SM Meppen;Analogue;145,725000;145,12500;25;;;;;None;;;None;123,0;Disabled;Master;No;No;No;495;Off;No;No;None;52,72919846;7,37500000;Yes
300;#DB0STH Wunstor;Analogue;438,662500;431,06250;12,5;;;;;None;;;85,4;85,4;Disabled;Master;No;No;No;495;Off;No;No;None;52,44816980;9,42001710;Yes
301;#DB0STH Klein H;Analogue;438,662500;431,06250;25;;;;;None;;;85,4;85,4;Disabled;Master;No;No;No;495;Off;No;No;None;52,44806900;9,42008500;Yes
302; DB0STM Bokeloh;Analogue;145,612500;145,01250;25;;;;;None;;;None;1750;Disabled;Master;No;No;No;495;Off;No;No;None;52,41618500;9,36258900;Yes
303;#DM0ZMI Minden;Analogue;432,825000;432,82500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;52,28519821;8,95816994;Yes
304;#DB0CHV.Cuxhave;Digital;438,275000;430,67500;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;53,85699844;8,67716980;Yes
305;#DB0SAH.Cuxhave;Digital;438,362500;430,76250;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;53,86220169;8,59904003;Yes
306;#DB0CU Cuxhaven;Analogue;439,375000;431,77500;25;;;;;None;;;None;67,0;Disabled;Master;No;No;No;495;Off;No;No;None;53,86330032;8,69769955;Yes
307;#DB0BUC.Buchhol;Digital;438,637500;431,03750;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;53,31769943;9,86948013;Yes
308; DB0RH Wardboeh;Analogue;145,700000;145,10000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;52,85240173;9,90699005;Yes
309;#DB0MIN Minden;Analogue;439,375000;431,77500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;52,24200058;8,93570042;Yes
