Channel Number;Channel Name;Channel Type;Rx Frequency;Tx Frequency;Bandwidth (kHz);Colour Code;Timeslot;Contact;TG List;DMR ID;TS1_TA_Tx;TS2_TA_Tx ID;RX Tone;TX Tone;Squelch;Power;Rx Only;Zone Skip;All Skip;TOT;VOX;No Beep;No Eco;APRS;Latitude;Longitude;Use location
382; DB0ANA Poehlbe;Analogue;145,625000;145,02500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,56250000;13,04170036;Yes
383; DB0FTS Suhl;Analogue;145,762500;145,16250;12,5;;;;;None;;;None;67,0;Disabled;Master;No;No;No;495;Off;No;No;None;50,61230087;10,74520016;Yes
384;#DB0FTS.Suhl;Digital;438,537500;430,93750;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,61230087;10,74520016;Yes
385;#DB0LMM Leipzig;Analogue;439,300000;431,70000;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;51,33850098;12,38199997;Yes
386; DB0LEI Leipzig;Analogue;145,775000;145,17500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;51,34339905;12,38420010;Yes
387;#DM0LC.Leipzig;Digital;439,387500;431,78750;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;51,33720016;12,41250038;Yes
388;#DM0MW Mittweid;Analogue;439,162500;431,56250;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,98529816;12,97410011;Yes
389;#DM0BT Bayreuth;Analogue;439,875000;430,47500;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;49,94940900;11,56185600;Yes
390;#DM0BT.Bayreuth;Digital;439,875000;430,47500;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;49,94940900;11,56185600;Yes
391;#DB0LIC Lichten;Analogue;439,025000;431,42500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,14580154;11,04170036;Yes
392;#DM0LEI Leipzig;Analogue;439,150000;431,55000;12,5;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;51,35459900;12,42469978;Yes
393;#DB0RQ Fuchsmue;Analogue;439,075000;431,47500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;49,91999817;12,13230038;Yes
394;#DM0KWD.Halle.S;Digital;438,450000;430,85000;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;51,46030045;11,99289989;Yes
395;#DM0KWD Halle S;Analogue;438,625000;431,02500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;51,46030045;11,99289989;Yes
396; DM0HK Hartha;Analogue;145,662500;145,06250;12,5;;;;;None;;;None;1750;Disabled;Master;No;No;No;495;Off;No;No;None;51,10170000;12,95400000;Yes
397;#DB0LBH Deditz;Analogue;438,925000;431,32500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;51,22919846;12,79170036;Yes
398; DB0BT Bayreuth;Analogue;145,612500;145,01250;12,5;;;;;None;;;103,5;103,5;Disabled;Master;No;No;No;495;Off;No;No;None;49,88804200;11,55764000;Yes
399;#DB0BT Bayreuth;Analogue;439,900000;430,50000;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;49,88804200;11,55764000;Yes
400;#DB0BT.Bayreuth;Digital;439,900000;430,50000;12,5;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;49,88804200;11,55764000;Yes
401;#DB0GTH.Gotha;Digital;438,300000;430,70000;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,95309830;10,68850040;Yes
402;#DM0SVX Halle S;Analogue;430,375000;430,37500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;51,49179840;11,95600033;Yes
403;#DO0TMO.Puechau;Digital;438,837500;431,23750;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;51,39979935;12,64879990;Yes
404;#DB0AWI.Wiegleb;Digital;438,400000;430,80000;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;51,04719925;10,62849998;Yes
405; DB0ZW Weiden;Analogue;145,712500;145,11250;25;;;;;None;;;None;82,5;Disabled;Master;No;No;No;495;Off;No;No;None;49,78749847;12,07940006;Yes
406; DB0HAL Halle S;Analogue;145,750000;145,15000;25;;;;;None;;;None;67,0;Disabled;Master;No;No;No;495;Off;No;No;None;51,56250000;11,95829964;Yes
407;#DB0NU Maroldsw;Analogue;438,675000;431,07500;25;;;;;None;;;None;;Disabled;Master;No;No;No;495;Off;No;No;None;50,18780136;10,70829964;Yes
408;#DB0NU.Maroldsw;Digital;439,500000;431,90000;;1;1;None;BM;None;APRS;APRS;;;;Master;No;No;No;495;Off;No;No;None;50,18750000;10,70829964;Yes
